date,gdp_qoq,consumption_qoq,investment_qoq,government_qoq,exports_qoq,imports_qoq,gdp_yoy,consumption_yoy,investment_yoy,government_yoy,equipment_yoy,info_processing_software_yoy,consumption_contrib,investment_contrib,government_contrib,net_exports_contrib,exports_contrib,imports_contrib,goods_qoq,durable_goods_qoq,nondurable_goods_qoq,services_qoq,motor_vehicles_qoq,housing_utilities_qoq,health_care_qoq,food_services_qoq,goods_contrib,durable_goods_contrib,nondurable_goods_contrib,services_contrib,motor_vehicles_contrib,housing_utilities_contrib,health_care_contrib,food_services_contrib,recreation_services_contrib,recreational_goods_contrib,transportation_services_contrib,financial_services_contrib,nondurable_goods_alt_contrib,fixed_investment_qoq,nonresidential_qoq,residential_qoq,structures_qoq,equipment_qoq,intellectual_property_qoq,software_qoq,info_processing_software_qoq,fixed_investment_contrib,nonresidential_contrib,residential_contrib,structures_contrib,equipment_contrib,intellectual_property_contrib,software_contrib,information_processing_equipment_contrib,transportation_equipment_contrib,research_development_contrib,inventory_change_contrib,federal_qoq,state_local_qoq,defense_qoq,nondefense_qoq,defense_consumption_qoq,defense_investment_qoq,federal_contrib,state_local_contrib,defense_contrib,nondefense_contrib,defense_consumption_contrib,defense_investment_contrib,exports_goods_qoq,exports_services_qoq,imports_goods_qoq,imports_services_qoq,exports_goods_contrib,exports_services_contrib,imports_goods_contrib,imports_services_contrib
2020-01-01,-5.2,-6.6,-9.6,4.4,-13.9,-13.5,-2.1,-2.5,-4.4,3.4,-9.9,5.3,-4.48,-1.8,0.77,0.34,-1.62,1.96,-1.8,-15.0,5.6,-8.7,-36.4,0.1,-14.4,-30.4,-0.37,-1.11,0.74,-4.1,-1.08,0.01,-1.76,-1.62,-0.9,0.14,-0.81,-0.03,-0.93,-3.0,-6.9,11.8,-5.9,-18.6,6.4,13.2,-1.1,-0.52,-0.96,0.44,-0.19,-1.1,0.32,0.27,-0.31,-0.51,0.2,-1.28,4.3,4.4,2.5,7.0,3.2,-0.2,0.29,0.49,0.1,0.19,0.1,0.0,-5.5,-27.7,-10.7,-24.4,-0.37,-1.25,1.25,0.72
2020-04-01,-28.0,-30.4,-45.2,8.9,-61.0,-52.3,,,,,,,-21.62,-8.92,1.82,0.74,-8.71,9.45,-8.4,-1.1,-11.9,-39.0,-4.4,5.7,-51.7,-79.6,-1.55,0.05,-1.6,-20.07,-0.08,0.71,-7.29,-5.48,-3.25,0.84,-2.6,-0.14,0.03,-27.9,-28.7,-25.0,-38.7,-38.8,-10.0,-1.4,4.4,-5.22,-4.15,-1.07,-1.4,-2.23,-0.51,-0.03,0.22,-1.66,-0.36,-3.69,32.5,-3.5,1.2,91.5,-3.1,19.1,2.1,-0.28,0.08,2.02,-0.08,0.16,-66.5,-48.9,-48.2,-67.3,-6.49,-2.22,6.87,2.58
2020-07-01,34.9,40.6,98.6,-6.6,58.3,84.2,,,,,,,24.95,13.54,-1.14,-2.5,4.86,-7.36,49.8,96.1,29.9,36.2,112.1,2.2,81.9,211.0,9.88,5.69,4.19,15.07,2.14,0.32,6.9,4.42,1.68,1.13,0.94,0.44,5.17,28.7,18.4,67.3,-5.7,48.9,7.5,7.0,17.0,5.08,2.69,2.39,-0.16,2.42,0.43,0.17,0.56,1.06,0.43,8.46,-11.6,-3.4,0.4,-25.1,0.1,1.3,-0.82,-0.32,0.05,-0.87,0.02,0.03,105.3,-2.0,100.5,20.5,4.85,0.01,-6.99,-0.37
2020-10-01,4.6,5.5,13.8,0.4,26.1,33.4,,,,,,,3.6,2.46,0.08,-1.53,2.34,-3.88,2.1,2.7,1.7,7.3,-5.6,2.4,15.8,-5.4,0.47,0.22,0.25,3.13,-0.15,0.29,1.66,-0.23,0.13,0.24,0.23,0.47,0.15,16.5,11.8,31.4,2.9,18.1,10.5,17.2,14.3,2.75,1.5,1.25,0.07,0.9,0.53,0.36,0.2,0.38,0.2,-0.29,0.4,0.4,13.5,-15.5,12.1,19.0,0.04,0.04,0.53,-0.49,0.37,0.15,28.0,22.1,32.2,39.5,1.68,0.66,-3.16,-0.71
2021-01-01,5.7,9.4,-3.0,5.8,0.9,7.8,6.2,8.8,9.0,-0.1,7.1,13.0,6.05,-0.4,1.05,-1.01,0.07,-1.08,17.6,30.6,10.8,5.4,48.6,4.0,-1.2,22.3,3.74,2.22,1.51,2.32,1.15,0.48,-0.13,0.78,0.57,0.34,0.2,0.26,-0.07,8.4,9.3,5.5,6.4,5.5,14.8,24.5,17.8,1.48,1.22,0.26,0.16,0.32,0.75,0.5,0.19,0.1,0.3,-1.88,17.4,-0.9,-7.5,62.5,-3.7,-20.3,1.15,-0.1,-0.31,1.47,-0.12,-0.19,-1.0,4.7,7.0,12.0,-0.08,0.15,-0.83,-0.25
2021-04-01,7.0,14.7,-5.1,-4.6,4.1,9.0,,,,,,,9.42,-0.78,-0.85,-0.81,0.43,-1.23,16.1,17.0,15.4,14.0,18.4,1.4,13.0,63.9,3.52,1.37,2.16,5.89,0.53,0.18,1.38,2.09,0.82,0.48,1.0,0.03,1.47,6.1,10.0,-4.4,0.6,12.0,13.2,15.1,10.3,1.09,1.31,-0.21,0.01,0.63,0.67,0.32,0.09,0.4,0.37,-1.87,-8.6,-2.0,-3.7,-14.6,-3.9,-2.9,-0.63,-0.22,-0.15,-0.48,-0.13,-0.02,1.8,8.9,6.0,25.5,0.14,0.29,-0.72,-0.52
2021-07-01,3.3,3.4,15.4,-2.9,-0.3,6.6,,,,,,,2.24,2.6,-0.54,-0.96,-0.03,-0.93,-8.9,-23.7,0.8,10.3,-45.6,2.8,7.6,18.2,-2.19,-2.3,0.11,4.43,-1.82,0.33,0.82,0.76,0.6,-0.23,0.94,0.08,0.67,-1.3,-1.5,-0.8,-3.7,-11.3,10.1,10.6,3.9,-0.22,-0.18,-0.04,-0.11,-0.59,0.51,0.23,-0.07,-0.54,0.29,2.82,-7.4,-0.1,-4.1,-11.5,-5.3,0.3,-0.52,-0.01,-0.16,-0.36,-0.17,0.0,-4.0,8.0,-0.3,47.3,-0.3,0.26,0.01,-0.94
2021-10-01,7.0,3.9,28.5,0.0,25.8,21.6,,,,,,,2.63,4.71,-0.01,-0.29,2.57,-2.86,3.6,6.2,2.1,4.1,1.8,1.1,5.5,-0.8,0.81,0.5,0.3,1.82,0.05,0.13,0.6,-0.04,0.43,0.32,0.2,0.13,2.67,3.1,3.1,2.7,-8.4,-0.5,13.0,13.1,18.3,0.56,0.43,0.13,-0.23,0.0,0.66,0.28,0.42,-0.44,0.39,4.15,3.4,-2.1,-3.0,12.4,-5.3,6.1,0.22,-0.23,-0.11,0.33,-0.16,0.05,28.4,20.4,23.5,13.2,1.91,0.66,-2.56,-0.31
2022-01-01,-1.0,0.4,7.9,-3.0,-4.1,12.0,2.5,3.0,6.1,-1.2,2.8,11.1,0.22,1.45,-0.54,-2.15,-0.44,-1.71,-2.0,0.0,-3.0,1.6,3.5,5.3,-0.2,-0.8,-0.48,-0.01,-0.47,0.7,0.09,0.61,-0.02,-0.03,-0.1,0.04,-0.05,-0.25,-1.04,6.7,12.2,-6.9,7.9,12.9,13.8,22.5,18.6,1.15,1.49,-0.35,0.2,0.6,0.69,0.46,0.25,0.17,0.33,0.3,-8.2,0.2,-10.4,-5.2,-10.6,-9.7,-0.56,0.02,-0.4,-0.16,-0.32,-0.08,-8.4,5.9,12.1,11.4,-0.65,0.2,-1.44,-0.27
2022-04-01,0.6,3.3,-8.6,-1.4,13.1,7.1,,,,,,,2.19,-1.69,-0.26,0.38,1.45,-1.07,-0.4,-1.3,0.1,5.3,-3.7,2.4,1.1,24.2,-0.11,-0.11,0.0,2.3,-0.12,0.28,0.12,1.02,0.4,-0.09,-0.01,-0.12,-1.43,1.9,7.0,-11.1,8.9,0.7,12.4,14.3,6.3,0.34,0.91,-0.56,0.24,0.04,0.63,0.31,-0.05,0.18,0.31,-2.03,-3.7,0.0,1.4,-10.1,-1.0,10.4,-0.25,-0.01,0.05,-0.3,-0.03,0.08,12.8,13.8,4.1,22.9,0.98,0.47,-0.52,-0.55
2022-07-01,2.9,1.9,-6.7,1.7,15.0,-5.8,,,,,,,1.27,-1.26,0.28,2.63,1.7,0.94,-2.5,-1.5,-3.0,4.2,-2.7,0.2,6.6,3.6,-0.58,-0.12,-0.46,1.85,-0.08,0.02,0.69,0.17,0.08,0.05,-0.07,0.25,-0.38,-2.2,6.0,-23.0,10.7,2.7,6.9,9.2,6.5,-0.4,0.8,-1.2,0.3,0.14,0.37,0.2,0.06,0.23,0.12,-0.86,-1.3,3.5,-4.2,2.5,-0.9,-15.4,-0.09,0.37,-0.15,0.06,-0.02,-0.13,16.9,11.1,-8.9,9.4,1.3,0.39,1.18,-0.24
2022-10-01,2.8,0.8,8.0,4.1,-2.9,-3.1,,,,,,,0.53,1.43,0.69,0.14,-0.33,0.47,-2.3,-4.8,-0.9,2.3,-5.1,3.2,7.8,-2.4,-0.52,-0.38,-0.14,1.05,-0.14,0.38,0.81,-0.12,0.18,-0.09,0.03,0.07,0.75,-0.5,7.1,-21.3,11.5,2.5,9.3,13.6,0.8,-0.09,0.94,-1.03,0.33,0.12,0.49,0.3,-0.26,0.3,0.18,1.52,9.1,1.4,8.3,10.1,2.6,32.1,0.54,0.15,0.28,0.26,0.07,0.21,-5.6,2.9,-2.9,-4.2,-0.45,0.11,0.34,0.13
2023-01-01,2.9,4.5,-7.1,4.1,3.8,-1.0,2.9,2.6,0.8,3.5,2.9,2.3,2.99,-1.33,0.69,0.58,0.43,0.14,7.2,18.0,1.8,3.2,32.5,-0.6,8.8,7.4,1.55,1.29,0.26,1.44,0.78,-0.07,0.92,0.34,0.06,0.35,-0.01,0.18,1.28,4.9,8.5,-6.6,30.5,-0.2,5.5,2.3,-0.4,0.85,1.13,-0.28,0.84,-0.01,0.3,0.05,-0.07,0.13,0.19,-2.18,4.1,4.1,4.6,3.6,6.9,-3.2,0.25,0.44,0.16,0.09,0.19,-0.03,6.1,-0.8,-1.3,0.0,0.46,-0.03,0.14,0.01
2023-04-01,2.5,1.5,7.2,3.3,-5.3,-2.1,,,,,,,1.02,1.27,0.56,-0.3,-0.6,0.3,0.4,0.1,0.6,2.0,-8.3,1.1,3.5,-1.9,0.09,0.01,0.09,0.92,-0.24,0.13,0.38,-0.09,0.06,0.23,0.03,0.44,-1.17,9.5,11.0,4.2,20.1,12.6,4.7,4.1,0.3,1.63,1.47,0.16,0.61,0.61,0.25,0.09,-0.08,0.62,0.13,-0.36,-0.1,5.4,2.4,-3.1,0.4,10.0,-0.01,0.56,0.08,-0.09,0.01,0.07,-10.4,5.6,-4.3,7.2,-0.81,0.21,0.49,-0.19
2023-07-01,4.7,3.1,9.4,5.2,4.4,3.0,,,,,,,2.08,1.66,0.87,0.09,0.49,-0.4,4.4,6.3,3.3,2.4,-1.5,3.3,3.5,5.8,0.95,0.48,0.47,1.13,-0.04,0.39,0.39,0.28,0.06,0.37,0.08,-0.01,1.1,3.8,1.7,11.5,6.8,-2.6,2.9,6.2,2.7,0.69,0.25,0.44,0.22,-0.13,0.16,0.14,-0.03,-0.03,0.01,0.97,6.8,4.2,7.4,6.0,8.9,2.3,0.42,0.44,0.26,0.16,0.24,0.02,6.0,1.6,4.1,-1.3,0.43,0.06,-0.44,0.04
2023-10-01,3.4,3.0,3.6,4.7,6.1,5.4,,,,,,,2.04,0.65,0.79,-0.06,0.66,-0.72,2.2,0.2,3.2,3.4,-8.7,0.5,7.6,4.0,0.47,0.02,0.46,1.57,-0.24,0.06,0.81,0.19,-0.05,0.15,0.06,0.03,0.83,4.6,5.5,1.5,11.3,3.3,4.2,10.0,11.3,0.82,0.76,0.06,0.36,0.17,0.23,0.22,0.21,-0.15,0.05,-0.17,3.4,5.4,2.0,5.2,1.3,4.7,0.21,0.57,0.08,0.14,0.04,0.04,6.4,5.5,2.8,16.6,0.45,0.21,-0.3,-0.42
2024-01-01,0.8,1.7,-1.6,2.3,4.6,6.9,2.8,2.9,3.0,3.8,3.5,6.2,1.17,-0.29,0.39,-0.42,0.49,-0.91,-1.3,-0.9,-1.6,3.2,-6.7,0.9,6.7,-0.9,-0.29,-0.07,-0.22,1.46,-0.18,0.12,0.73,-0.04,0.04,-0.02,0.02,0.29,-1.16,3.0,1.5,8.2,-5.0,0.5,6.7,10.9,6.0,0.54,0.22,0.32,-0.17,0.03,0.35,0.24,-0.01,-0.05,0.16,-0.83,0.8,3.2,-2.6,5.5,-0.1,-11.6,0.05,0.34,-0.1,0.15,0.0,-0.09,-0.1,13.8,7.4,4.9,-0.01,0.5,-0.78,-0.13
2024-04-01,3.6,3.9,8.2,3.3,0.7,8.4,,,,,,,2.61,1.44,0.57,-1.04,0.08,-1.11,5.5,7.8,4.3,3.2,6.9,2.9,3.4,0.1,1.14,0.56,0.59,1.47,0.17,0.35,0.38,0.0,0.06,0.2,0.4,-0.02,0.84,1.4,2.5,-2.0,-3.9,8.9,0.7,3.7,6.6,0.27,0.35,-0.08,-0.13,0.44,0.04,0.08,0.18,0.32,-0.01,1.17,4.3,2.8,6.9,0.9,5.2,13.6,0.27,0.3,0.25,0.03,0.15,0.1,0.4,1.2,9.0,5.9,0.03,0.05,-0.95,-0.16
2024-07-01,3.3,4.0,0.9,5.4,8.9,10.1,,,,,,,2.66,0.18,0.92,-0.41,0.95,-1.36,6.1,8.6,4.8,3.0,12.3,0.9,6.6,1.7,1.27,0.61,0.66,1.38,0.29,0.12,0.72,0.08,0.06,0.14,-0.05,0.14,1.38,1.5,3.5,-4.8,-2.2,8.2,2.6,2.5,7.5,0.28,0.48,-0.2,-0.07,0.41,0.14,0.06,0.24,0.14,0.1,-0.11,8.6,3.6,13.5,2.4,11.0,23.3,0.54,0.38,0.47,0.07,0.31,0.17,8.4,9.8,8.9,15.3,0.58,0.37,-0.95,-0.41
2024-10-01,1.9,3.9,-6.8,3.3,-0.9,-0.2,,,,,,,2.61,-1.26,0.57,-0.06,-0.1,0.03,6.9,13.0,3.8,2.5,17.8,1.1,3.5,1.8,1.43,0.92,0.52,1.17,0.42,0.13,0.39,0.09,0.16,0.33,0.04,0.17,0.06,-1.9,-3.7,4.3,-8.1,-4.3,-0.6,2.8,1.9,-0.34,-0.51,0.17,-0.26,-0.22,-0.03,0.07,0.01,-0.15,-0.11,-0.91,4.4,2.7,4.6,4.1,5.6,0.8,0.28,0.29,0.17,0.11,0.16,0.01,-3.9,4.6,-3.1,11.5,-0.28,0.18,0.35,-0.32
2025-01-01,-0.6,0.6,23.3,-1.0,0.2,38.0,,,,,,,0.42,3.79,-0.17,-4.68,0.02,-4.7,0.2,-3.4,2.2,0.8,-11.4,2.7,2.9,-0.8,0.04,-0.26,0.3,0.37,-0.31,0.33,0.33,-0.04,-0.18,0.02,0.01,-0.01,-0.75,7.1,9.5,-1.0,-3.1,21.4,6.5,18.8,36.1,1.21,1.24,-0.04,-0.1,1.0,0.34,0.41,0.89,0.05,-0.08,2.58,-5.6,1.9,-6.9,-3.8,-10.0,5.6,-0.37,0.2,-0.27,-0.11,-0.31,0.04,6.3,-9.7,52.0,-5.8,0.42,-0.4,-4.88,0.18
2025-04-01,3.8,2.5,-13.8,-0.1,-1.8,-29.3,,,,,,,1.68,-2.66,-0.01,4.83,-0.2,5.03,2.2,2.3,2.2,2.6,9.7,-0.2,4.8,5.9,0.47,0.17,0.3,1.21,0.23,-0.03,0.54,0.28,0.1,-0.06,0.16,0.26,1.13,4.4,7.3,-5.1,-7.5,8.5,15.0,26.6,19.7,0.77,0.98,-0.21,-0.23,0.44,0.78,0.58,0.22,0.27,0.2,-3.44,-5.3,3.1,0.9,-13.0,1.0,0.4,-0.35,0.33,0.03,-0.38,0.03,0.0,-4.7,3.5,-35.0,-1.2,-0.33,0.13,4.99,0.04
